Date,Close
3/2/2015 16:00:00,49.47
3/3/2015 16:00:00,49.55
3/4/2015 16:00:00,49.07
3/5/2015 16:00:00,48.92
3/6/2015 16:00:00,48.29
3/9/2015 16:00:00,48.23
3/10/2015 16:00:00,47.51
3/11/2015 16:00:00,47.68
3/12/2015 16:00:00,48.73
3/13/2015 16:00:00,48.84
3/16/2015 16:00:00,49.27
3/17/2015 16:00:00,48.95
3/18/2015 16:00:00,49.54
3/19/2015 16:00:00,49.3
3/20/2015 16:00:00,49.56
3/23/2015 16:00:00,49.64
3/24/2015 16:00:00,49.41
3/25/2015 16:00:00,48.73
3/26/2015 16:00:00,48.42
3/27/2015 16:00:00,48.56
3/30/2015 16:00:00,49.12
3/31/2015 16:00:00,48.63
4/1/2015 16:00:00,48.92
4/2/2015 16:00:00,49.47
4/6/2015 16:00:00,49.63
4/7/2015 16:00:00,49.27
4/8/2015 16:00:00,49.13
4/9/2015 16:00:00,49.01
4/10/2015 16:00:00,49.22
4/13/2015 16:00:00,49.04
4/14/2015 16:00:00,49.18
4/15/2015 16:00:00,49.39
4/16/2015 16:00:00,49.27
4/17/2015 16:00:00,48.9
4/20/2015 16:00:00,49.38
4/21/2015 16:00:00,49.17
4/22/2015 16:00:00,49.57
4/23/2015 16:00:00,50.05
4/24/2015 16:00:00,50.03
4/27/2015 16:00:00,50.08
4/28/2015 16:00:00,50.55
4/29/2015 16:00:00,50.47
4/30/2015 16:00:00,50.44
5/1/2015 16:00:00,50.41
5/4/2015 16:00:00,50.52
5/5/2015 16:00:00,50.09
5/6/2015 16:00:00,49.64
5/7/2015 16:00:00,49.73
5/8/2015 16:00:00,50.14
5/11/2015 16:00:00,49.8
5/12/2015 16:00:00,49.62
5/13/2015 16:00:00,49.73
5/14/2015 16:00:00,49.97
5/15/2015 16:00:00,49.79
5/18/2015 16:00:00,49.6
5/19/2015 16:00:00,49.55
5/20/2015 16:00:00,49.69
5/21/2015 16:00:00,49.9
5/22/2015 16:00:00,49.61
5/26/2015 16:00:00,49.42
5/27/2015 16:00:00,49.57
5/28/2015 16:00:00,49.54
5/29/2015 16:00:00,49.44
6/1/2015 16:00:00,49.22
6/2/2015 16:00:00,49.14
6/3/2015 16:00:00,49.08
6/4/2015 16:00:00,48.1
6/5/2015 16:00:00,47.23
6/8/2015 16:00:00,47.44
6/9/2015 16:00:00,47.34
6/10/2015 16:00:00,47.47
6/11/2015 16:00:00,47.76
6/12/2015 16:00:00,47.25
6/15/2015 16:00:00,47
6/16/2015 16:00:00,47.42
6/17/2015 16:00:00,47.27
6/18/2015 16:00:00,47.77
6/19/2015 16:00:00,47.46
6/22/2015 16:00:00,47.53
6/23/2015 16:00:00,47.77
6/24/2015 16:00:00,47.29
6/25/2015 16:00:00,47.44
