Date,Close
3/2/2015 16:00:00,85.41
3/3/2015 16:00:00,85.16
3/4/2015 16:00:00,84.35
3/5/2015 16:00:00,84.63
3/6/2015 16:00:00,82.66
3/9/2015 16:00:00,83.09
3/10/2015 16:00:00,81.54
3/11/2015 16:00:00,81.39
3/12/2015 16:00:00,82.09
3/13/2015 16:00:00,81.83
3/16/2015 16:00:00,83.56
3/17/2015 16:00:00,82.85
3/18/2015 16:00:00,83.75
3/19/2015 16:00:00,83.38
3/20/2015 16:00:00,84.74
3/23/2015 16:00:00,84.86
3/24/2015 16:00:00,83.92
3/25/2015 16:00:00,83.01
3/26/2015 16:00:00,82.15
3/27/2015 16:00:00,82.31
3/30/2015 16:00:00,82.72
3/31/2015 16:00:00,81.94
4/1/2015 16:00:00,82.32
4/2/2015 16:00:00,82.43
4/6/2015 16:00:00,83.04
4/7/2015 16:00:00,82.39
4/8/2015 16:00:00,82.77
4/9/2015 16:00:00,82.89
4/10/2015 16:00:00,83.35
4/13/2015 16:00:00,83.43
4/14/2015 16:00:00,83.6
4/15/2015 16:00:00,83.51
4/16/2015 16:00:00,83.5
4/17/2015 16:00:00,82.53
4/20/2015 16:00:00,82.87
4/21/2015 16:00:00,83.08
4/22/2015 16:00:00,83.09
4/23/2015 16:00:00,80.95
4/24/2015 16:00:00,81
4/27/2015 16:00:00,80.6
4/28/2015 16:00:00,80.42
4/29/2015 16:00:00,79.85
4/30/2015 16:00:00,79.51
5/1/2015 16:00:00,80.29
5/4/2015 16:00:00,80.35
5/5/2015 16:00:00,80.07
5/6/2015 16:00:00,80.4
5/7/2015 16:00:00,80.2
5/8/2015 16:00:00,80.96
5/11/2015 16:00:00,80.27
5/12/2015 16:00:00,79.95
5/13/2015 16:00:00,79.7
5/14/2015 16:00:00,80.57
5/15/2015 16:00:00,81.05
5/18/2015 16:00:00,80.74
5/19/2015 16:00:00,80.83
5/20/2015 16:00:00,80.48
5/21/2015 16:00:00,80.41
5/22/2015 16:00:00,79.95
5/26/2015 16:00:00,79.14
5/27/2015 16:00:00,79.39
5/28/2015 16:00:00,79.33
5/29/2015 16:00:00,78.39
6/1/2015 16:00:00,78.85
6/2/2015 16:00:00,78.54
6/3/2015 16:00:00,78.56
6/4/2015 16:00:00,78.15
6/5/2015 16:00:00,77.43
6/8/2015 16:00:00,77.71
6/9/2015 16:00:00,78.9
6/10/2015 16:00:00,79.54
6/11/2015 16:00:00,79.41
6/12/2015 16:00:00,78.87
6/15/2015 16:00:00,78.12
6/16/2015 16:00:00,79.1
6/17/2015 16:00:00,80.08
6/18/2015 16:00:00,80.82
6/19/2015 16:00:00,80.54
6/22/2015 16:00:00,80.45
6/23/2015 16:00:00,79.79
6/24/2015 16:00:00,79.51
6/25/2015 16:00:00,79.39
6/26/2015 16:00:00,79.34
6/29/2015 16:00:00,78.32
